project,github_url,orcid_status,kaggle_status,osf_status,notes
inspector-roofing-atlas-query-intelligence,https://github.com/RichNass87/inspector-roofing-atlas-query-intelligence,prepared_for_import,pending_auth,pending_auth,Current v1.0.1 source-spine package
inspector-roofing-best-top-trusted-google-study,https://github.com/RichNass87/inspector-roofing-best-top-trusted-google-study,needs_review,pending_review,pending_review,Public Google best/top study repo
roofing-near-me-ai-visibility-study,https://github.com/RichNass87/roofing-near-me-ai-visibility-study,public_orcid_work_found,pending_review,pending_review,ORCID title found as Roofing Near Me AI Visibility Study
inspector-roofing-protocols,https://github.com/RichNass87/inspector-roofing-protocols,public_orcid_work_found,pending_review,pending_review,ORCID title found as Inspector Roofing Protocols
inspector-roofing-ai-homeowner-tool-belt,https://github.com/RichNass87/inspector-roofing-ai-homeowner-tool-belt,needs_review,pending_review,pending_review,Public homeowner tool belt project
the-inspector-roofing-workflow,https://github.com/RichNass87/the-inspector-roofing-workflow,public_orcid_work_found,pending_review,pending_review,ORCID title found as The Inspector Roofing Workflow
code-to-spec-roofing-standard,https://github.com/RichNass87/code-to-spec-roofing-standard,public_orcid_work_found,pending_review,pending_review,ORCID title found as Code-to-Spec Roofing
claim-verifiability-academy,https://github.com/RichNass87/claim-verifiability-academy,public_orcid_work_found,pending_review,pending_review,ORCID title found as Claim Verifiability Evidence Standard and Roof Hero Academy
richard-nasser-ai-visibility-library,https://github.com/RichNass87/richard-nasser-ai-visibility-library,needs_review,pending_review,pending_review,Public AI visibility library
drone-assisted-roof-damage-whitepaper,https://github.com/RichNass87/drone-assisted-roof-damage-whitepaper,public_orcid_work_found,pending_review,pending_review,ORCID title found as Drone-Assisted Asphalt Shingle Storm-Damage Documentation
total-market-authority-scorecard,https://github.com/RichNass87/total-market-authority-scorecard,public_orcid_work_found,pending_review,pending_review,ORCID title found as Total Market Authority Scorecard
inspector-roofing-3d-roof-walkthrough,https://github.com/RichNass87/inspector-roofing-3d-roof-walkthrough,needs_review,pending_review,pending_review,Public 3D roof walkthrough project
inspector-roofing-roof-damage-yolo,https://github.com/RichNass87/inspector-roofing-roof-damage-yolo,public_orcid_work_found,pending_review,pending_review,ORCID title found as YOLO roof damage detection release
inspector-roofing-protocols-ai-language-standard,https://github.com/RichNass87/inspector-roofing-protocols-ai-language-standard,public_orcid_work_found,pending_review,pending_review,ORCID title found as Inspection-First Roofing AI Language Standard
